Total Margin (bin),Hospital,Total Margin
0.20,Mammoth Hospital,0.23
-0.10,John C Fremont Healthcare District,-0.079
0.05,Mayers Memorial Hospital,0.089
-0.20,Glenn Medical Center,-0.168
0.05,Catalina Island Medical Center,0.064
0.10,Surprise Valley Community Hospital,0.11
0.05,Jerold Phelps Community Hospital,0.083
0.00,Adventist Health Howard Memorial,0.049
0.00,Orchard Hospital,0.048
0.15,Mountains Community Hospital,0.171
0.05,Kern Valley Healthcare District,0.078
0.25,Trinity Hospital,0.269
-0.05,Fairchild Medical Center,-0.013
0.05,Adventist Health Clearlake,0.06
0.15,Providence Redwood Memorial Hospital,0.191
0.05,Mercy Medical Center Mt Shasta,0.085
0.00,Banner Lassen Medical Center,0.003
-0.05,Healdsburg Hospital,-0.014
0.00,Colorado River Medical Center,0.048
0.00,Northern Inyo Hospital,0.014
-0.05,Adventist Health Mendocino Coast,-0.025
0.10,Plumas District Hospital,0.105
0.15,Seneca District Hospital,0.199
0.10,Tahoe Forest Hospital,0.112
-0.05,Sutter Lakeside Hospital,-0.043
0.05,Modoc Medical Center,0.09
0.25,Santa Ynez Valley Cottage Hospital,0.269
-0.05,Mark Twain Medical Center,-0.02
0.00,Ridgecrest Regional Hospital,0.014
-0.20,Community Memorial Hospital - Ojai,-0.179
0.15,Bear Valley Community Hospital,0.155
0.20,George L Mee Memorial Hospital,0.239
0.00,Hazel Hawkins Memorial Hospital,0.005
-0.25,Coalinga Regional Medical Center,-0.244
0.05,Montrose Regional Health,0.087
0.00,San Luis Valley Health,0.045
0.15,Centura Mercy Hospital,0.186
0.10,Centura St Elizabeth Hospital,0.121
0.05,UCHealth Yampa Valley Medical Center,0.086
-0.05,Delta County Memorial Hospital,-0.047
0.05,Valley View Hospital Association,0.063
0.10,Sterling Regional Medcenter,0.128
0.00,Vail Health Hospital,0.003
0.15,"Animas Surgical Hospital, LLC",0.186
0.50,Centura St Anthony Summit Hospital,0.501
-0.05,Weisbrod Memorial County Hospital,-0.006
0.15,Rio Grande Hospital,0.169
0.10,Family Health West Hospital,0.147
0.05,East Morgan County Hospital,0.089
0.15,Haxtun Hospital District,0.176
0.05,Melissa Memorial Hospital,0.064
0.00,Lincoln Health Hospital,0.029
0.05,Rangely District Hospital,0.087
0.15,San Luis Valley Health Conejos County Hospital,0.182
0.05,Wray Community District Hospital,0.088
0.10,Sedgwick County Memorial Hospital,0.12
0.00,Southeast Colorado Hospital,0.03
-0.05,Estes Park Medical Center,-0.003
0.05,Kit Carson County Memorial Hospital,0.089
-0.05,Memorial Hospital,-0.022
0.00,Yuma District Hospital,0.037
0.00,Spanish Peaks Regional Health Center,0.049
0.00,Grand River Medical Center,0.004
0.05,Middle Park Medical Center,0.074
0.10,St Vincent General Hospital District,0.11
0.10,Gunnison Valley Hospital,0.149
0.00,Mt San Rafael Hospital,0.022
0.10,Heart of the Rockies Regional Medical Center,0.127
0.10,Prowers Medical Center,0.117
0.05,Aspen Valley Hospital,0.094
0.00,Pioneers Medical Center,0.028
-0.10,UCHealth Pikes Peak Regional Hospital,-0.067
-0.05,Southwest Memorial Hospital,-0.026
0.05,Pagosa Springs Medical Center,0.091
0.00,Arkansas Valley Regional Medical Center,0.023
0.10,Keefe Memorial Hospital,0.105
0.15,Centura St Thomas More Hospital,0.193
-0.30,Sharon Hospital,-0.256
0.00,Charlotte Hungerford Hospital,0.029
0.05,Windham Comm Mem Hosp & Hatch Hosp,0.05
0.10,Beebe Medical Center,0.12
0.05,"Bayhealth Hospital, Sussex Campus",0.088
-0.15,Shands Lake Shore Regional Medical Center,-0.147
0.00,Doctors Memorial Hospital Inc,0.032
0.00,Lakeside Medical Center,0.006
0.10,Ed Fraser Memorial Hospital,0.124
0.15,Baptist Medical Center - Nassau,0.157
0.00,Jackson Hospital,0.013
0.30,Lower Keys Medical Center,0.339
0.45,HCA Florida Lake City Hospital,0.486
0.00,Desoto Memorial Hospital,0.029
0.10,HCA Florida Putnam Hospital,0.116
0.55,HCA Florida Raulerson Hospital,0.596
-0.25,Ascension Sacred Heart Gulf,-0.238
0.50,Regional General Hospital Williston,0.532
0.15,AdventHealth Wauchula,0.165
-0.10,Lake City Medical Center Suwannee Campus,-0.093
-0.10,Campbellton-Graceville Hospital,-0.074
0.20,Lake Butler Hospital,0.202
0.05,Calhoun-Liberty Hospital,0.056
0.00,George E Weems Memorial Hospital,0.046
0.00,Doctors Memorial Hospital,0.007
0.00,Northwest Florida Community Hospital,0.036
0.05,Hendry Regional Medical Center,0.053
-0.05,North Florida Regional Medical Center Starke Campu,-0.05
0.05,Madison County Memorial Hospital,0.072
0.15,Fishermen's Community Hospital,0.16
0.35,Mariners Hospital,0.355
-0.05,Upson Regional Medical Center,-0.033
-0.05,Memorial Satilla Health,-0.017
-0.05,Tanner Medical Center - Carrollton,-0.03
0.10,Wellstar West Georgia Medical Center,0.11
0.00,AdventHealth Gordon,0.036
-0.05,"St Mary's Sacred Heart Hospital, Inc",-0.015
-0.05,Stephens County Hospital,-0.036
0.10,Archbold Memorial,0.115
-0.25,Northridge Medical Center,-0.205
0.00,Northeast Georgia Medical Center Habersham,0.014
0.10,Phoebe Sumter Medical Center,0.108
0.20,"Piedmont Walton Hospital, Inc",0.237
0.10,Union General Hospital,0.111
0.00,Appling Healthcare,0.023
0.00,Dorminy Medical Center,0.039
0.30,East Georgia Regional Medical Center,0.316
-0.05,Washington County Regional Medical Center,-0.035
0.00,"Coffee Regional Medical Center, Inc",0.027
0.15,Dodge County Hospital,0.162
-0.05,Tift Regional Medical Center,-0.005
0.05,Jefferson Hospital,0.088
-0.05,"Southwell Medical, A Campus of TRMC",-0.027
0.05,Crisp Regional Hospital,0.069
0.05,Colquitt Regional Medical Center,0.085
0.10,Emanuel Medical Center,0.135
0.15,Piedmont McDuffie Hospital,0.158
0.35,Burke Medical Center,0.366
0.25,Grady General Hospital,0.255
0.05,Wayne Memorial Hospital,0.08
0.20,Fairview Park Hospital,0.225
-0.05,Memorial Health Meadows Hospital,-0.032
0.05,Memorial Hospital and Manor,0.057
0.00,Taylor Regional Hospital,0.017
0.05,Evans Memorial Hospital,0.081
0.05,Southeast Georgia Health System- Camden Campus,0.086
-0.10,Navicent Health Baldwin,-0.095
-0.15,Fannin Regional Hospital,-0.107
0.05,Flint River Community Hospital,0.073
0.05,Donalsonville Hospital Inc,0.055
-0.05,North Georgia Medical Center,-0.039
0.00,Piedmont Mountainside Hospital Inc,0.049
-0.05,SGMC Berrien Campus,-0.028
0.05,Northeast Georgia Medical Center Lumpkin,0.095
-0.10,Irwin County Hospital,-0.09
0.00,Southwest Georgia Regional Medical Center,0.015
0.20,Bleckley Memorial Hospital,0.241
0.05,Jasper Memorial Hospital,0.06
0.00,Morgan Medical Center,0.034
0.15,Miller County Hospital,0.153
0.00,Effingham Health System,0.009
0.00,Clinch Memorial Hospital,0.048
0.00,Atrium Health Navicent Peach,0.003
-0.10,Jenkins County Medical Center,-0.066
-0.05,Optim Medical Center - Screven,-0.033
0.10,Putnam General Hospital,0.1
0.00,Lifebrite Community Hospital of Early,0.024
-0.20,Charlton Memorial Hospital,-0.152
0.10,Warm Springs Medical Center,0.113
-0.05,Monroe County Hospital,-0.003
0.15,Wellstar Sylvan Grove Medical Center,0.165
0.40,Higgins General Hospital,0.432
-0.05,"Lower Oconee Community Hospital, Inc",-0.034
-0.10,Stewart Webster Hospital,-0.053
0.75,Optim Medical Center - Tattnall,0.798
0.00,Chatuge Regional Hospital,0.042
0.05,Wills Memorial Hospital,0.084
-0.10,SGMC Lanier Campus,-0.075
0.00,Bacon County Hospital,0.049
0.10,Phoebe Worth Medical Center,0.112
0.05,St Mary's Good Samaritan Hospital,0.094
0.55,Atrium Health Floyd Polk Medical Center,0.552
0.00,Mitchell County Hospital,0.033
0.00,Archbold Brooks,0.001
0.05,Jeff Davis Hospital,0.071
0.10,Candler County Hospital,0.142
0.05,Liberty Regional Medical Center,0.087
-0.15,Mountain Lakes Medical Center,-0.126
0.05,Elbert Memorial Hospital,0.094
0.05,Hilo Medical Center,0.096
0.05,Wilcox Memorial Hospital,0.063
-0.05,Kona Community Hospital,-0.006
-0.20,"North Hawaii Community Hospital, Inc",-0.16
0.10,Kauai Veterans Memorial Hospital,0.122
-0.05,Kau Hospital,-0.046
0.00,Kohala Hospital,0.033
0.10,Molokai General Hospital,0.108
0.05,Kahuku Medical Center,0.075
-0.30,Lanai Community Hospital,-0.285
0.00,Samuel Mahelona Memorial Hospital,0.036
0.10,Hale Ho'ola Hamakua,0.144
0.00,Kula Hospital,0.032
0.00,St Luke's Magic Valley RMC,0.03
0.05,Madison Memorial Hospital,0.073
0.05,Grove Creek Medical Center,0.091
0.05,Boundary Community Hospital,0.065
0.05,North Canyon Medical Center,0.067
0.05,Nell J Redfield Memorial Hospital,0.091
0.15,Power County Hospital District,0.182
0.00,Steele Memorial Medical Center,0.047
0.15,Weiser Memorial Hospital,0.175
0.05,Cascade Medical Center,0.097
-0.10,Caribou Medical Center,-0.059
0.00,St Luke's Jerome,0.003
0.00,St Luke's Elmore Medical Center,0.036
0.15,St Luke's McCall,0.152
0.05,Teton Valley Hospital,0.065
0.10,Shoshone Medical Center,0.123
0.10,Syringa General Hospital,0.109
0.10,Bear Lake Memorial Hospital,0.123
-0.05,Benewah Community Hospital,-0.026
0.05,Valor Health,0.077
0.05,Minidoka Memorial Hospital,0.057
0.00,Clearwater Valley Hospital & Clinics,0.045
0.05,St Mary's Hospital,0.063
0.05,Franklin County Medical Center,0.056
0.15,St Luke's Wood River Medical Center,0.199
0.05,Lost Rivers Medical Center,0.061
0.00,Bingham Memorial Hospital,0.037
0.00,Cassia Regional Hospital,0.018
0.00,Gritman Medical Center,0.022
0.00,Bonner General Hospital,0.046
0.05,Graham Hospital Association,0.068
-0.05,Katherine Shaw Bethea Hospital,-0.047
0.00,Blessing Hospital,0.028
-0.05,HSHS Good Shepherd Hospital Inc,-0.041
-0.05,St Marys Hospital,-0.011
0.20,St Anthonys Memorial Hospital,0.203
0.15,SSM Health St Mary's Hospital -Centralia,0.175
-0.05,Galesburg Cottage Hospital,-0.03
0.00,CGH Medical Center,0.016
0.05,Good Samaritan Regional Hlth Center,0.094
0.05,Jersey Community Hospital,0.08
0.30,St Mary Medical Center,0.304
0.00,Mc Donough District Hospital,0.035
0.05,Morris Hospital & Healthcare Centers,0.055
0.20,OSF Saint Elizabeth Medical Center,0.224
-0.10,HSHS Holy Family Hospital,-0.096
-0.05,St Margaret's Health Spring Valley,-0.043
0.25,St Josephs Hospital,0.287
-0.25,Carle Richland Memorial Hospital,-0.205
0.10,FHN Memorial Hospital,0.114
0.25,Saint James Hospital,0.296
0.10,Sarah Bush Lincoln Health Center,0.134
-0.05,Harrisburg Medical Center,-0.009
-0.10,St Margaret's Health - Peru,-0.054
0.05,Crossroads Community Hospital,0.092
0.10,Thomas H Boyd Memorial Hospital,0.138
0.10,Kirby Medical Center,0.128
0.05,Midwest Medical Center,0.094
0.15,Warner Hospital and Health Services,0.174
0.00,"Genesis Medical Center, Aledo",0.024
0.10,Memorial Hospital,0.115
0.05,Community Hospital of Staunton,0.098
0.10,Pinckneyville Community Hospital,0.127
0.05,Washington County Hospital,0.067
-0.05,Carle Eureka Hospital,-0.01
0.10,OSF Saint Paul Medical Center,0.139
0.10,Fairfield Memorial Hospital 1,0.112
0.10,Rochelle Community Hospital,0.1
0.15,Mason District Hospital,0.165
0.10,Illini Community Hospital,0.112
-0.05,Hoopeston Community Memorial Hospital,-0.032
0.00,Gibson Community Hospital,0.007
0.35,OSF Holy Family Medical Center,0.393
0.15,Hammond Henry Hospital,0.151
0.00,Paris Community Hospital,0.03
0.10,Franklin Hospital,0.126
0.15,Abraham Lincoln Memorial Hospital,0.172
0.00,Massac Memorial Hospital,0.009
-0.05,Ferrell Hospital Community Foundations,-0.007
0.25,OSF Saint Luke Medical Center,0.251
0.05,Hamilton Memorial Hospital,0.092
0.10,Wabash General Hospital 1,0.136
0.00,Hardin County General Hospital,0.032
0.20,Morrison Community Hospital,0.248
0.10,Hopedale Hospital,0.11
0.00,Marshall Browning Hospital,0.041
0.10,Hillsboro Area Hospital,0.109
0.10,Sarah D Culbertson Memorial Hospital,0.137
0.00,St Joseph Memorial Hospital,0.018
0.20,Mercy Harvard Hospital,0.223
0.15,St Joseph's Hospital,0.151
-0.05,OSF Saint Clare Medical Center,-0.04
0.10,Memorial Hospital,0.107
0.15,Taylorville Memorial Hospital,0.156
0.20,Northwestern Medicine Valley West Hospital,0.204
0.05,Pana Community Hospital,0.073
0.00,Union County Hospital,0.008
0.00,Crawford Memorial Hospital,0.044
0.05,Lawrence County Memorial Hospital,0.089
0.15,Salem Township Hospital,0.161
0.00,Sarah Bush Lincoln Fayette County Hospital,0.031
0.05,Carlinville Area Hospital,0.059
0.00,Red Bud Regional Hospital,0.036
0.10,Sparta Community Hospital,0.123
0.30,St Francis Hospital,0.302
0.20,Clay County Hospital,0.212
0.15,Jacksonville Memorial Hospital,0.173
0.00,Iroquois Memorial Hospital,0.038
0.10,Marion General Hospital,0.109
0.15,Franciscan Health Crawfordsville,0.152
0.00,Henry County Memorial Hospital,0.034
0.00,Good Samaritan Hospital,0.002
0.00,Parkview DeKalb Hospital,0.032
0.55,Reid Health,0.562
-0.10,Daviess Community Hospital,-0.067
-0.10,Fayette Regional Health System,-0.051
0.05,Schneck Medical Center,0.094
0.00,Norton-King's Daughters' Health,0.041
-0.05,Memorial Hospital,-0.029
-0.10,Bluffton Regional Medical Center,-0.059
0.10,Saint Joseph Regional Medical Center - Plymouth,0.106
-0.05,St Elizabeth Dearborn Hospital,-0.04
0.10,Parkview Huntington Hospital,0.121
0.10,Major Hospital,0.149
0.10,Parkview Whitley Hospital,0.149
0.10,Northwest Health- Starke,0.142
-0.05,Witham Health Services,-0.009
0.30,Memorial Hospital and Health Care Center,0.315
0.35,Lutheran Kosciusko Hospital,0.371
0.10,Parkview Noble Hospital,0.128
-0.05,Community Hospital of Bremen Inc,-0.045
0.15,Ascension St Vincent Randolph,0.171
-0.05,Indiana University Health Blackford Hospital,-0.018
0.25,Ascension St Vincent Jennings,0.286
0.05,Rush Memorial Hospital,0.062
0.00,Pulaski Memorial Hospital,0.035
0.15,Indiana University Health Paoli Hospital,0.151
-0.05,Ascension St Vincent Williamsport,-0.016
0.10,Ascension St Vincent Mercy,0.104
0.05,Ascension St Vincent Clay,0.053
0.00,"Parkview Wabash Hospital, Inc",0.04
0.10,Indiana University Health Tipton Hospital Inc,0.148
0.10,Indiana University Health White Memorial Hospital,0.148
0.00,Woodlawn Hospital,0.021
0.15,Ascension St Vincent Salem,0.158
0.05,Cameron Memorial Community Hospital Inc,0.061
0.05,Indiana University Health Frankfort Inc,0.066
-0.05,Greene County General Hospital,-0.03
0.05,Dukes Memorial Hospital,0.065
0.15,Deaconess Gibson Hospital,0.161
-0.10,IU Health Jay,-0.084
0.00,Perry County Memorial Hospital,0.029
0.05,Parkview Lagrange Hospital,0.071
-0.10,"Franciscan Health Rensselaer, Inc",-0.097
-0.05,Ascension St Vincent Warrick,-0.038
0.25,Union Hospital Clinton,0.278
0.10,Sullivan County Community Hospital,0.109
0.25,Indiana University Health Bedford Hospital,0.284
0.00,Margaret Mary Health,0.042
-0.10,Adams Memorial Hospital,-0.083
-0.05,Harrison County Hospital,-0.048
0.00,Decatur County Memorial Hospital,0.024
-0.05,Putnam County Hospital,-0.015
-0.05,Scott Memorial Health,-0.027
0.05,Ascension St Vincent Dunn,0.053
0.05,Unitypoint Health - Marshalltown,0.066
-0.05,St Anthony Regional Hospital & Nursing Home,-0.018
-0.15,Blessing Health Keokuk,-0.135
0.10,Trinity Muscatine,0.109
0.05,Trinity Regional Medical Center,0.096
-0.10,MercyOne Newton Medical Center,-0.074
-0.05,Southeast Iowa Regional Medical Center,-0.007
0.00,MercyOne North Iowa Medical Center,0.024
0.00,MercyOne Clinton Medical Center,0
-0.05,Ottumwa Regional Health Center,-0.023
0.00,Spencer Municipal Hospital,0.036
0.05,Lakes Regional Healthcare,0.064
0.00,Grinnell Regional Medical Center,0.013
-0.15,MercyOne Primghar Medical Center,-0.101
0.05,Iowa Specialty Hospital - Belmond,0.098
0.10,Iowa Specialty Hospital - Clarion,0.1
0.15,Grundy County Memorial Hospital,0.166
-0.05,CHI Health - Mercy Corning,-0.037
0.15,Pocahontas Community Hospital,0.181
0.15,Jones Regional Medical Center,0.162
0.10,Hancock County Health System,0.135
0.10,Franklin General Hospital,0.104
0.05,CHI Health Missouri Valley,0.05
0.10,Adair County Memorial Hospital,0.129
0.05,Hawarden Regional Healthcare,0.088
0.05,Guttenberg Municipal Hospital,0.099
0.10,Genesis Medical Center-Dewitt,0.111
0.10,Guthrie County Hospital,0.147
0.10,Keokuk County Health Center,0.138
0.10,Gundersen Palmer Lutheran Hospital and Clinics,0.125
0.10,Compass Memorial Healthcare,0.101
0.10,Veterans Memorial Hospital,0.102
0.05,MercyOne Elkader Medical Center,0.052
0.05,Community Memorial Hospital Medical Center,0.053
0.00,Avera Merrill Pioneer Hospital,0.028
0.20,Dallas County Hospital,0.223
0.15,Mitchell County Regional Health,0.157
0.05,George C Grape Community Hospital,0.087
0.05,Greene County Medical Center,0.067
0.10,Madison County Health Care System,0.142
0.05,Davis County Hospital,0.067
0.00,Regional Health Services of Howard County,0.04
0.00,Jackson County Regional Health Center,0.047
0.10,Audubon County Memorial Hospital,0.114
0.10,MercyOne New Hampton Medical Center,0.132
0.05,Manning Regional Healthcare Center,0.08
0.05,Story County Hospital,0.084
0.10,Humboldt County Memorial Hospital,0.102
0.10,Buchanan County Health Center,0.112
0.05,Hegg Memorial Health Center,0.096
0.10,Van Buren County Hospital,0.142
0.05,MercyOne Oelwein Medical Center,0.05
0.00,Waverly Health Center,0.047
0.10,Decatur County Hospital,0.118
0.10,Lucas County Health Center,0.106
0.10,Monroe County Hospital,0.1
0.10,Regional Medical Center,0.131
0.05,Washington County Hospital and Clinics,0.096
0.00,Osceola Community Hospital,0.045
0.00,Sioux Center Health,0.048
0.10,Floyd County Medical Center,0.132
0.15,Clarke County Hospital,0.158
0.10,Virginia Gay Hospital,0.106
0.05,Stewart Memorial Community Hospital,0.06
0.10,Avera Holy Family Hospital,0.142
0.00,Clarinda Regional Health Center,0.037
0.15,Kossuth Regional Health Center,0.169
0.00,Horn Memorial Hospital,0.015
0.10,Knoxville Hospital & Clinics,0.104
0.00,Henry County Health Center,0.006
0.10,Palo Alto County Hospital,0.146
0.05,Wayne County Hospital,0.057
0.00,Burgess Health Center,0.028
0.05,Orange City Area Health System,0.066
0.05,Van Diest Medical Center,0.084
0.10,Cherokee Regional Medical Center,0.127
0.00,Montgomery County Memorial Hospital,0.006
0.00,Jefferson County Health Center,0.036
0.10,Greater Regional Medical Center,0.107
0.00,Shenandoah Medical Center,0.02
0.00,Pella Regional Health Center,0.033
0.10,Floyd Valley Healthcare,0.106
0.00,Crawford County Memorial Hospital,0.046
0.15,Loring Hospital,0.193
0.05,Winnmed,0.077
0.00,Boone County Hospital,0.033
0.00,Ringgold County Hospital,0.047
0.10,Myrtue Medical Center,0.115
0.05,Buena Vista Regional Medical Center,0.083
0.05,Cass County Memorial Hospital,0.066
0.00,MercyOne Centerville Medical Center,0.025
-0.05,MercyOne Dyersville Medical Center,-0.037
0.05,Mahaska  Health Partnership,0.06
0.05,Hansen Family Hospital,0.089
0.05,Sanford Sheldon Medical Center,0.074
0.00,Ascension Via Christi Hospital Pittsburg Inc,0.029
0.00,Saint John Hospital,0.007
-0.05,Mercy Hospital Independence,-0.038
0.05,Salina Regional Health Center,0.051
-0.05,Hays Medical Center,-0.035
0.00,AdventHealth Ottawa,0.018
-0.10,Susan B Allen Memorial Hospital,-0.091
-0.05,Hutchinson Regional Medical Center Inc,-0.024
0.05,Centura St. Catherine Hospital-Garden City,0.074
-0.05,Pratt Regional Medical Center,-0.019
-0.10,Sumner Community Hospital,-0.062
-0.05,Mercy Hospital-Fort Scott,-0.038
0.10,Southwest Medical Center,0.119
-0.05,"Stormont Vail Health Flint Hills, LLC",-0.024
0.00,"Mercy Hospital, Inc",0.015
0.00,NMC Health,0.049
0.00,McPherson Hospital Inc,0.047
0.00,Miami County Medical Center,0.003
-0.20,Bob Wilson Memorial Grant County Hospital,-0.198
0.05,Labette Health,0.079
-0.30,Saint Luke's Cushing Hospital,-0.264
-0.05,"Coffeyville Regional Medical Center, Inc",-0.033
0.00,Morton County Hospital,0.048
0.05,Centura St Catherine Hospital - Dodge City,0.064
-0.10,University  of KS Hlth System Great Bend Campus,-0.081
0.05,Grisell Memorial Hospital,0.071
0.00,Ellinwood District Hospital,0.046
-0.15,Oswego Community Hospital,-0.148
0.10,Lane County Hospital,0.124
0.10,Ashland Health Center,0.148
0.05,Wichita County Health Center,0.061
0.05,Rawlins County Health Center,0.08
-0.10,Mercy Hospital Columbus,-0.076
